Time,Temperature,Gas,Humidity,Pressure,Altitude
1712188467.9971023,33.9,82490,100.0,690.817,3116.39
1712188469.16189,23.1,10465,45.3,1006.053,60.09
1712188470.172336,23.1,11890,45.1,1006.077,59.89
1712188471.1829011,23.0,13649,45.0,1006.084,59.83
1712188472.1934762,23.0,15452,44.8,1006.091,59.78
1712188473.204065,23.0,17120,44.7,1006.102,59.68
1712188474.2155697,23.0,18661,44.6,1006.106,59.65
1712188475.2271228,23.0,20055,44.5,1006.108,59.63
1712188476.2386565,23.0,21541,44.4,1006.110,59.62
1712188477.2501523,23.0,22709,44.3,1006.108,59.63
